be,bo'lishi
and,va
of,ning
a,a
in,yilda
to,ga
have,bor
it,u
I,Men
that,bu
for,uchun
you,siz
he,u
with,bilan
on,kuni
do,qil
say,demoq
this,bu
they,ular
at,da
but,lekin
we,biz
his,uning
from,dan
not,emas
by,tomonidan
she,u
or,yoki
as,kabi
what,nima
go,boring
their,ularning
can,mumkin
who,JSSV
get,olish
if,agar
would,bo'lardi
her,uni
all,barchasi
my,mening
make,qilish
about,haqida
know,bilish
will,iroda
up,yuqoriga
one,bitta
time,vaqt
there,Mana
year,yil
so,shunday
think,o'ylang
when,qachon
which,qaysi
them,ularni
some,biroz
me,men
people,odamlar
take,olish
out,chiqib
into,ichiga
just,faqat
see,qarang
him,uni
your,sizning
come,kel
could,mumkin edi
now,hozir
than,dan
like,kabi
other,boshqa
how,Qanday
then,keyin
its,uning
our,bizning
two,ikkitasi
more,Ko'proq
these,bular
want,xohlamoq
way,yo'l
look,qarash
first,birinchi
also,shuningdek
new,yangi
because,chunki
day,kun
use,foydalanish
no,yo'q
man,kishi
find,topmoq
here,Bu yerga
thing,narsa
give,berish
many,ko'p
well,yaxshi
only,faqat
those,o'sha
tell,ayt
very,juda
even,hatto
back,orqaga
any,har qanday
good,yaxshi
woman,ayol
through,orqali
us,Biz
life,hayot
child,bola
work,ish
down,pastga
may,mumkin
after,keyin
should,kerak
call,qo'ng'iroq qiling
world,dunyo
over,ustida
school,maktab
still,hali ham
try,harakat qilib ko'ring
last,oxirgi
ask,so'rang
need,kerak
too,ham
feel,his qilish
three,uchta
state,davlat
never,hech qachon
become,bo'lish
between,o'rtasida
high,yuqori
really,haqiqatan ham
something,nimadur
most,eng
another,boshqa
much,ko'p
family,oila
own,Shaxsiy
leave,qoldiring
put,qo'yish
old,eski
while,esa
mean,anglatadi
keep,saqlamoq
student,talaba
why,nima uchun
let,ruxsat bering
great,ajoyib
same,bir xil
big,katta
group,guruh
begin,boshlanishi
seem,ko'rinadi
country,mamlakat
help,Yordam bering
talk,gapirish
where,qayerda
turn,burilish
problem,muammo
every,har bir
start,boshlang
hand,qo'l
might,mumkin
American,Amerika
show,ko'rsatish
part,qism
against,qarshi
place,joy
such,shunday
again,yana
few,oz
case,ish
week,hafta
company,kompaniya
system,tizim
each,har biri
right,to'g'ri
program,dastur
hear,eshitish
question,savol
during,davomida
play,o'ynash
government,hukumat
run,yugurish
small,kichik
number,raqam
off,yopiq
always,har doim
move,harakat qilish
night,kecha
live,yashash
Mr,Janob
point,nuqta
believe,ishon
hold,tutmoq
today,Bugun
bring,olib kelish
happen,sodir bo'lmoq
next,Keyingi
without,holda
before,oldin
large,katta
million,million
must,kerak
home,uy
under,ostida
water,suv
room,xona
write,yozmoq
mother,Ona
area,maydon
national,milliy
money,pul
story,hikoya
young,yosh
fact,haqiqat
month,oy
different,boshqacha
lot,ko'p
study,o'rganish
book,kitob
eye,ko'z
job,ish
word,so'z
though,Garchi
business,biznes
issue,nashr
side,yon tomon
kind,mehribon
four,to'rt
head,bosh
far,uzoq
black,qora
long,uzoq
both,ikkalasi ham
little,oz
house,uy
yes,ha
since,beri
